idx iface acct_tag_hex uid_tag_int cnt_set rx_bytes rx_packets tx_bytes tx_packets rx_tcp_bytes rx_tcp_packets rx_udp_bytes rx_udp_packets rx_other_bytes rx_other_packets tx_tcp_bytes tx_tcp_packets tx_udp_bytes tx_udp_packets tx_other_bytes tx_other_packets
2 wlan0 0x0 0 0 6057139186 100720379 67984102 659067 23153858 391123 6033981456 100329166 3872 90 34039269 246703 13043353 193857 20901480 218507
3 wlan0 0x0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 wlan0 0x0 1000 0 14113821 25319 16167944 260287 12794109 10787 1319712 14532 0 0 13989668 231246 2178276 29041 0 0
5 wlan0 0x0 1000 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 wlan0 0x0 1014 0 2911476 8796 2966432 8867 0 0 2911476 8796 0 0 0 0 2963856 8821 2576 46
7 wlan0 0x0 1014 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 wlan0 0x0 1021 0 35949512 66889 6785747 94542 35949512 66889 0 0 0 0 6785747 94542 0 0 0 0
9 wlan0 0x0 1021 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 wlan0 0x0 5007 0 1197405 3892 609652 6124 527116 2413 670289 1479 0 0 599152 6054 10500 70 0 0
11 wlan0 0x0 5007 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 wlan0 0x0 10004 0 136000 120 11802 181 136000 120 0 0 0 0 11802 181 0 0 0 0
13 wlan0 0x0 10004 1 0 0 180 3 0 0 0 0 0 0 180 3 0 0 0 0
14 wlan0 0x0 10009 0 79947 148 271604 4316 79947 148 0 0 0 0 271604 4316 0 0 0 0
15 wlan0 0x0 10009 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 wlan0 0x0 10010 0 14772791 12221 5782755 91909 14772791 12221 0 0 0 0 5782755 91909 0 0 0 0
17 wlan0 0x0 10010 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 wlan0 0x0 10020 0 444860779 383244 51382708 447145 444550339 382822 310440 422 0 0 51253344 446817 129364 328 0 0
19 wlan0 0x0 10020 1 385870323 273705 7683559 128736 383206123 270971 2664200 2734 0 0 7425630 126978 257929 1758 0 0
20 wlan0 0x0 10025 0 676 16 9204 177 676 16 0 0 0 0 9204 177 0 0 0 0
21 wlan0 0x0 10025 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22 wlan0 0x0 10033 0 148258 234 70591 399 148258 234 0 0 0 0 70591 399 0 0 0 0
23 wlan0 0x0 10033 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
24 wlan0 0x0 10036 0 1171724987 12151172 203579563 2012176 362165524 548092 809559463 11603080 0 0 198951971 1960184 4627592 51992 0 0
25 wlan0 0x0 10036 1 13771558 76801 3206093 22502 8866414 11035 4905144 65766 0 0 3142234 21787 63859 715 0 0
26 wlan0 0x0 10042 0 73524 140 19734 213 73524 140 0 0 0 0 19734 213 0 0 0 0
27 wlan0 0x0 10042 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28 wlan0 0x0 10068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29 wlan0 0x0 10068 1 16163 26 3285 32 16163 26 0 0 0 0 3285 32 0 0 0 0
30 wlan0 0x0 10069 0 575891 2085 4152362 63572 501266 1924 74625 161 0 0 4054603 63400 97759 172 0 0
31 wlan0 0x0 10069 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 wlan0 0x0 10071 0 3929273 8430 1809975 13120 3929273 8430 0 0 0 0 1809975 13120 0 0 0 0
33 wlan0 0x0 10071 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
34 wlan0 0x0 10079 0 3729840 7451 2489627 29482 3729840 7451 0 0 0 0 2489627 29482 0 0 0 0
35 wlan0 0x0 10079 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
36 wlan0 0x0 10080 0 25904 46 10218 115 25904 46 0 0 0 0 10218 115 0 0 0 0
37 wlan0 0x0 10080 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
